time,open,high,low,upstop,downstop,volume,money,close
2017/4/14,7.4807,7.5174,7.4623,8.2334,6.7372,160597815.8,19688844,7.4899
2017/4/17,7.4991,7.5082,7.3614,8.2425,6.7372,148419740,18332929,7.3981
2017/4/18,7.4073,7.4256,7.3522,8.1416,6.6546,103479998.8,12850500,7.3706
2017/4/19,7.3522,7.3706,7.2053,8.1049,6.6363,174543026.2,22023134,7.2788
2017/4/20,7.2971,7.3522,7.2512,8.0039,6.5536,122082335.3,15351428,7.3247
2017/4/21,7.3247,7.3706,7.2604,8.059,6.5904,145714583.6,18274138,7.3522
2017/4/24,7.3247,7.3522,7.2604,8.0865,6.6179,106968209.8,13435368,7.2788
2017/4/25,7.2971,7.3706,7.2971,8.0039,6.5536,88998624.42,11127030,7.3155
2017/4/26,7.3155,7.5082,7.3063,8.0498,6.5812,191286902.8,23621583,7.4807
2017/4/27,7.4623,7.5266,7.3889,8.2334,6.7372,175330494.6,21551213,7.4807
2017/4/28,7.5174,7.5358,7.444,8.2334,6.7372,168714953.4,20687889,7.4991
2017/5/2,7.5082,7.5082,7.3889,8.2517,6.7464,138999394.9,17149877,7.4073
2017/5/3,7.4073,7.444,7.3247,8.1508,6.6638,145075742.6,18073666,7.343
2017/5/4,7.3338,7.3706,7.2971,8.0773,6.6087,117302985,14695251,7.3063
2017/5/5,7.2971,7.343,7.2512,8.0406,6.572,106433290.6,13379298,7.288
2017/5/8,7.2971,7.343,7.2696,8.0131,6.5628,100498192.9,12632279,7.2788
2017/5/9,7.2604,7.3063,7.2329,8.0039,6.5536,83290118.46,10514291,7.2788
2017/5/10,7.2788,7.3155,7.1686,8.0039,6.5536,124971806.3,15784751,7.1778
2017/5/11,7.1686,7.2237,7.0493,7.8938,6.4619,175923433,22698476,7.2053
2017/5/12,7.1778,7.2696,7.1594,7.9305,6.4802,103297781.7,13155514,7.2604
